,rating,likes,genre,top cast,language,director
Let the Right One In,4.05,73819,"['Horror', 'Drama']","['Kåre Hedebrant', 'Lina Leandersson', 'Per Ragnar']",Swedish,Tomas Alfredson
What's Eating Gilbert Grape,3.8,95310,"['Drama', 'Romance']","['Johnny Depp', 'Juliette Lewis', 'Leonardo DiCaprio']",English,Lasse Hallström
Catch Me If You Can,4.03,523518,"['Drama', 'Crime']","['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken']",English,Steven Spielberg
The Big Sleep,3.97,23931,"['Thriller', 'Crime', 'Romance', 'Drama', 'Mystery']","['Humphrey Bogart', 'Lauren Bacall', 'John Ridgely']",English,Howard Hawks
Amores Perros,4.15,61846,"['Thriller', 'Drama']","['Gael García Bernal', 'Vanessa Bauche', 'Goya Toledo']",Spanish,Alejandro González Iñárritu
The Terminal,3.57,111401,"['Comedy', 'Drama']","['Tom Hanks', 'Catherine Zeta-Jones', 'Stanley Tucci']",English,Steven Spielberg
Howl's Moving Castle,4.32,704108,"['Fantasy', 'Adventure', 'Animation']","['Chieko Baisho', 'Takuya Kimura', 'Akihiro Miwa']",Japanese,Hayao Miyazaki
Jaws,3.97,379708,"['Adventure', 'Thriller', 'Horror']","['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss']",English,Steven Spielberg
Pride & Prejudice,4.1,452770,"['Drama', 'Romance']","['Keira Knightley', 'Matthew Macfadyen', 'Brenda Blethyn']",English,Joe Wright
Edward Scissorhands,3.86,410223,"['Drama', 'Romance', 'Fantasy']","['Johnny Depp', 'Winona Ryder', 'Dianne Wiest']",English,Tim Burton
Moonstruck,3.77,52911,"['Drama', 'Romance', 'Comedy']","['Cher', 'Nicolas Cage', 'Vincent Gardenia']",English,Norman Jewison
Airplane!,3.84,149740,['Comedy'],"['Robert Hays', 'Julie Hagerty', 'Leslie Nielsen']",English,Jerry Zucker
Chicago,3.87,100472,"['Comedy', 'Crime', 'Drama']","['Renée Zellweger', 'Catherine Zeta-Jones', 'Richard Gere']",English,Rob Marshall
Some Like It Hot,4.24,103577,"['Romance', 'Crime', 'Comedy']","['Tony Curtis', 'Jack Lemmon', 'Marilyn Monroe']",English,Billy Wilder
Three Colours: Red,4.34,62685,"['Mystery', 'Drama', 'Romance']","['Irène Jacob', 'Jean-Louis Trintignant', 'Jean-Pierre Lorit']",French,Krzysztof Kieślowski
Thelma & Louise,4.12,128744,"['Drama', 'Thriller', 'Adventure', 'Crime']","['Geena Davis', 'Susan Sarandon', 'Harvey Keitel']",English,Ridley Scott
The 400 Blows,4.32,90704,['Drama'],"['Jean-Pierre Léaud', 'Claire Maurier', 'Albert Rémy']",French,François Truffaut
